date,crime_type,state
09-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
09-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California
09-2010,THROWING OBJECT AT MOVING VEHICLE,California
09-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
09-2010,BATTERY - SIMPLE ASSAULT,California
09-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
09-2010,BURGLARY,California
09-2010,BURGLARY,California
09-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
09-2010,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,California
09-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
09-2010,BATTERY - SIMPLE ASSAULT,California
09-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
09-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
09-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
09-2010,BATTERY - SIMPLE ASSAULT,California
09-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California
09-2010,BURGLARY FROM VEHICLE,California
10-2010,CHILD ANNOYING (17YRS & UNDER),California
10-2010,ROBBERY,California
10-2010,BATTERY - SIMPLE ASSAULT,California
10-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
10-2010,OTHER MISCELLANEOUS CRIME,California
10-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
10-2010,ROBBERY,California
10-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
10-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
10-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
10-2010,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,California
10-2010,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,California
10-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
10-2010,BURGLARY,California
10-2010,OTHER MISCELLANEOUS CRIME,California
10-2010,OTHER MISCELLANEOUS CRIME,California
10-2010,OTHER MISCELLANEOUS CRIME,California
05-2010,OTHER MISCELLANEOUS CRIME,California
10-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
10-2010,BURGLARY,California
10-2010,OTHER MISCELLANEOUS CRIME,California
10-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
10-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California
10-2010,BATTERY - SIMPLE ASSAULT,California
10-2010,DOCUMENT FORGERY / STOLEN FELONY,California
10-2010,BURGLARY FROM VEHICLE,California
11-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
11-2010,ORAL COPULATION,California
11-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
11-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
11-2010,BATTERY - SIMPLE ASSAULT,California
11-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
11-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
11-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
11-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
11-2010,BATTERY POLICE (SIMPLE),California
11-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
11-2010,CRIMINAL HOMICIDE,California
11-2010,BATTERY - SIMPLE ASSAULT,California
11-2010,CRUELTY TO ANIMALS,California
10-2010,CRUELTY TO ANIMALS,California
11-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
11-2010,BATTERY - SIMPLE ASSAULT,California
11-2010,BATTERY - SIMPLE ASSAULT,California
11-2010,ROBBERY,California
11-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California
11-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
11-2010,ARSON,California
01-2010,BURGLARY FROM VEHICLE,California
11-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California
11-2010,ROBBERY,California
11-2010,BATTERY - SIMPLE ASSAULT,California
11-2010,BATTERY - SIMPLE ASSAULT,California
11-2010,ROBBERY,California
11-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
11-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
11-2010,BATTERY - SIMPLE ASSAULT,California
11-2010,VEHICLE - ATTEMPT STOLEN,California
11-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
12-2010,BURGLARY,California
12-2010,"RAPE, FORCIBLE",California
12-2010,ROBBERY,California
12-2010,THEFT PLAIN - ATTEMPT,California
12-2010,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),California
12-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
12-2010,BRANDISH WEAPON,California
12-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
12-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California
12-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California
12-2010,BATTERY - SIMPLE ASSAULT,California
12-2010,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,California
12-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
12-2010,BATTERY - SIMPLE ASSAULT,California
12-2010,THROWING OBJECT AT MOVING VEHICLE,California
12-2010,BATTERY - SIMPLE ASSAULT,California
12-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
12-2010,THEFT OF IDENTITY,California
12-2010,OTHER MISCELLANEOUS CRIME,California
12-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California
12-2010,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",California
12-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
11-2010,OTHER MISCELLANEOUS CRIME,California
01-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
01-2010,BATTERY - SIMPLE ASSAULT,California
01-2010,BURGLARY FROM VEHICLE,California
01-2010,BATTERY - SIMPLE ASSAULT,California
01-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California
01-2010,BURGLARY FROM VEHICLE,California
01-2010,THEFT PLAIN - PETTY ($950 & UNDER),California
01-2010,BURGLARY FROM VEHICLE,California
01-2010,BATTERY - SIMPLE ASSAULT,California
