tweet_id,created_at,full_text,user_name,user_screen_name,retweet_count,favorite_count,location,Category
212593692656140289,Tue Jun 12 17:14:20 +0000 2012,Berkeley downtown cops Jun. 11 vs. street tramps after shoplifting arrest; are cops hands-off as Sidewalk sitting ban debate immanent?,Ted L. Friedman,berkboy,0,0,"Cafe Mediterraneum, Berkeley",shoplifting_arrest
195954594403192832,Fri Apr 27 19:16:30 +0000 2012,Police Blotter: Thief Hits Jackpot in Car Break-In and $1 Shoplifting Arrest http://t.co/IGyk1SVE via http://t.co/zvUyrQN9,11225,11225,0,0,11225,shoplifting_arrest
195924359192395776,Fri Apr 27 17:16:21 +0000 2012,Police Blotter: Thief Hits Jackpot in Car Break-In and $1 Shoplifting Arrest http://t.co/k6NHyTvP via http://t.co/aXkJ8YR2,11217,11217,0,0,11217,shoplifting_arrest
195924358261243904,Fri Apr 27 17:16:21 +0000 2012,Police Blotter: Thief Hits Jackpot in Car Break-In and $1 Shoplifting Arrest http://t.co/HXmJxuR1 via http://t.co/oivZ68DM,11238,11238,0,0,11238,shoplifting_arrest
195924355610460161,Fri Apr 27 17:16:21 +0000 2012,Police Blotter: Thief Hits Jackpot in Car Break-In and $1 Shoplifting Arrest http://t.co/3NbTxIvf via http://t.co/9mWAewJa,11205,11205,0,0,11205,shoplifting_arrest
190307822255357953,Thu Apr 12 05:18:15 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/ou7MK208",11703,11703,0,0,11703,shoplifting_arrest
189462294143569920,Mon Apr 09 21:18:25 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/kzmNSXRI via http://t.co/0G7Imz44",11590,11590,0,0,11590,shoplifting_arrest
189404290765438976,Mon Apr 09 17:27:56 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest - http://t.co/q7TZY8hM #GardenCity #NewYork",New York News,topix_ny,0,0,New York,shoplifting_arrest
189403627486593024,Mon Apr 09 17:25:18 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/tRfpA9yf via http://t.co/oN4hhWDl",11793,11793,0,0,11793,shoplifting_arrest
189403608679333888,Mon Apr 09 17:25:13 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/RL0pMpRB via http://t.co/7gpn4Ugr",11783,11783,0,0,11783,shoplifting_arrest
189403585698738176,Mon Apr 09 17:25:08 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/CYq6igC7 via http://t.co/omNEw4IS",11762,11762,0,0,11762,shoplifting_arrest
189403584662749184,Mon Apr 09 17:25:08 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/8lHZoLYc via http://t.co/INIvwvdB",11758,11758,0,0,11758,shoplifting_arrest
189403565733851136,Mon Apr 09 17:25:03 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/xCeDVyf7 via http://t.co/m8e0RLH4",11735,11735,0,0,11735,shoplifting_arrest
189403518413713408,Mon Apr 09 17:24:52 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/SJjt8IGP via http://t.co/j279fovF",11710,11710,0,0,11710,shoplifting_arrest
189403399261917184,Mon Apr 09 17:24:23 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/sXtTSvze via http://t.co/SEmfDT24",11566,11566,0,0,11566,shoplifting_arrest
189403338612289536,Mon Apr 09 17:24:09 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest http://t.co/8zLEMNv5 via http://t.co/wGm7AjVr",11520,11520,0,0,11520,shoplifting_arrest
189373900839325696,Mon Apr 09 15:27:11 +0000 2012,"Crime Nearby: Handbag Stolen from Mepham Locker, Shoplifting Arrest - http://t.co/TBD9Cbdz #Seaford #NewYork",New York News,topix_ny,0,0,New York,shoplifting_arrest
179907841426075649,Wed Mar 14 12:32:26 +0000 2012,Shoplifting arrest at Stony Point ShopRite; Garnerville man arrested on warrant for driving charge - http://t.co/Rs0X0tiT #Garnerville,New York News,topix_ny,0,0,New York,shoplifting_arrest
178091586704510976,Fri Mar 09 12:15:17 +0000 2012,"Police Log: Shoplifting Arrest, Child Walked Away From Residence, Vandalism http://t.co/izxbsa6u via http://t.co/2LlJus0r",01532,01532,0,0,01532,shoplifting_arrest
175841759652360192,Sat Mar 03 07:15:17 +0000 2012,"Police Log: Shoplifting Arrest, Bonfire in the Morning http://t.co/3osfird3 via http://t.co/2LlJus0r",01532,01532,0,0,01532,shoplifting_arrest
175041603591868418,Thu Mar 01 02:15:45 +0000 2012,Kittery shoplifting arrest leads to 3 other arrests in New Hampshire http://t.co/SuXJlNJr via http://t.co/VHRwhNgw,03904,03904,0,0,03904,shoplifting_arrest
174575205698633729,Tue Feb 28 19:22:27 +0000 2012,"Newport Police Log: Noise Violation, Shoplifting Arrest - http://t.co/btzOgF1a #Newport #RhodeIsland",Rhode Island News,topix_ri,0,0,Rhode Island,shoplifting_arrest
174340062702608384,Tue Feb 28 03:48:04 +0000 2012,Woman allegedly opens fire during shoplifting arrest at Concord mall -KTVU San Francisco http://t.co/jNPXfAC9 #Antioch #CA,Neighborhood News,yatown_news,0,0,Silicon Valley,shoplifting_arrest
173263984479322112,Sat Feb 25 04:32:07 +0000 2012,Woman allegedly opens fire during shoplifting arrest at Concord mall http://t.co/uQZz7OSE via http://t.co/vQIqPuJC,94552,94552,0,0,94552,shoplifting_arrest
173263979806851072,Sat Feb 25 04:32:06 +0000 2012,Woman allegedly opens fire during shoplifting arrest at Concord mall http://t.co/6S4YUyBk via http://t.co/eyuLkQcc,94553,94553,0,0,94553,shoplifting_arrest
173263972160651264,Sat Feb 25 04:32:04 +0000 2012,Woman allegedly opens fire during shoplifting arrest at Concord mall http://t.co/a9gtEvGK via http://t.co/xMWtP2Uz,94546,94546,0,0,94546,shoplifting_arrest
