date,crime_type,state,Primary Category,Secondary Category
04-2010,ATTEMPTED ROBBERY,California,Violent Crimes,ROBBERY
04-2010,ROBBERY,California,Violent Crimes,ROBBERY
04-2010,INTIMATE PARTNER - AGGRAVATED ASSAULT,California,Violent Crimes,ASSAULT
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
04-2010,CRIMINAL THREATS - NO WEAPON DISPLAYED,California,,OTHER
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
04-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
04-2010,"THEFT, PERSON",California,,OTHER
04-2010,SHOPLIFTING - PETTY THEFT ($950 & UNDER),California,,OTHER
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
10-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
04-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
04-2010,VANDALISM - MISDEAMEANOR ($399 OR UNDER),California,,OTHER
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,INTIMATE PARTNER - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,TRESPASSING,California,,OTHER
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,BOMB SCARE,California,,OTHER
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,BURGLARY,California,Property Crimes,BURGLARY
05-2010,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",California,,OTHER
05-2010,BATTERY - SIMPLE ASSAULT,California,Violent Crimes,ASSAULT
05-2010,ROBBERY,California,Violent Crimes,ROBBERY
05-2010,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",California,Violent Crimes,ASSAULT
05-2010,OTHER MISCELLANEOUS CRIME,California,,OTHER
05-2010,ROBBERY,California,Violent Crimes,ROBBERY
