date,crime_type,state,Primary Category,Secondary Category
July-2022,FALSE STATEMENT FOR PROPERTY/CREDIT > $30K < $150K PC32.32(c5),Texas,,OTHER
September-2014,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
December-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2022,BURGLARY OF HABITATION - FORCED ENTRY,Texas,Property Crimes,BURGLARY
November-2022,CRIMINAL TRESPASS,Texas,,OTHER
December-2021,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas,,OTHER
September-2022,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
October-2022,BMV,Texas,,OTHER
January-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas,,OTHER
September-2022,RECKLESS DAMAGE,Texas,,OTHER
November-2022,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
October-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
August-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
July-2022,BMV,Texas,,OTHER
August-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas,,OTHER
March-2023,ABANDONED PROPERTY (NO OFFENSE),Texas,,OTHER
August-2022,FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,Texas,,OTHER
November-2022,ASSAULT (AGG) -DEADLY WEAPON,Texas,Violent Crimes,ASSAULT
November-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
December-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
July-2017,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
February-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
June-2016,ARSON -MOTOR VEH,Texas,Miscellaneous Crimes,ARSON
May-2022,CRIMINAL TRESPASS WARNING,Texas,,OTHER
December-2015,INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),Texas,,OTHER
August-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
June-2017,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Texas,,OTHER
July-2022,GRAFFITI PECUNIARY LOSS <$100,Texas,,OTHER
August-2022,ASSAULT -BODILY INJURY ONLY,Texas,Violent Crimes,ASSAULT
September-2022,CRIMINAL TRESPASS WARNING,Texas,,OTHER
March-2023,POSS MARIJUANA <2OZ,Texas,,OTHER
September-2015,BMV,Texas,,OTHER
November-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas,Property Crimes,BURGLARY
June-2016,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
March-2022,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
January-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
July-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
December-2016,CRIMINAL TRESPASS,Texas,,OTHER
September-2022,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Texas,,OTHER
November-2021,ROBBERY OF BUSINESS (AGG),Texas,Violent Crimes,ROBBERY
July-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,BMV,Texas,,OTHER
October-2014,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
October-2022,BMV,Texas,,OTHER
January-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
September-2022,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Texas,,OTHER
September-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
December-2022,BMV,Texas,,OTHER
September-2023,BURGLARY OF BUILDING - FORCED ENTRY,Texas,Property Crimes,BURGLARY
December-2014,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Texas,,OTHER
July-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
March-2023,BMV,Texas,,OTHER
April-2016,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
December-2022,POSS MARIJUANA <2OZ,Texas,,OTHER
November-2021,UNLAWFUL CARRYING WEAPON,Texas,,OTHER
October-2022,ASSAULT -VERBAL THREAT,Texas,Violent Crimes,ASSAULT
October-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
May-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
June-2022,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
November-2022,BMV,Texas,,OTHER
November-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas,,OTHER
September-2022,"BMV <$1,500  2/MORE PREV CONV- (NOT EMPLOYEE)",Texas,,OTHER
August-2023,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
January-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,RECKLESS DAMAGE,Texas,,OTHER
April-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
April-2022,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
July-2022,HARASSMENT,Texas,,OTHER
October-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
November-2021,"THEFT OF PROP > OR EQUAL $750 <$2,500 (SHOPLIFT-NOT EMP) PC31.03(e3)",Texas,,OTHER
May-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
May-2022,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
April-2016,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
August-2022,ASSAULT (AGG) -DEADLY WEAPON,Texas,Violent Crimes,ASSAULT
September-2024,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
November-2018,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
October-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
February-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
May-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
February-2023,POSS MARIJUANA <2OZ,Texas,,OTHER
June-2014,THEFT FROM PERSON,Texas,,OTHER
September-2022,ASSAULT -BODILY INJURY ONLY,Texas,Violent Crimes,ASSAULT
October-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Texas,,OTHER
October-2022,DWI,Texas,,OTHER
December-2015,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
June-2015,ROBBERY OF BUSINESS (AGG),Texas,Violent Crimes,ROBBERY
September-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas,,OTHER
January-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
November-2022,ASSAULT -VERBAL THREAT,Texas,Violent Crimes,ASSAULT
September-2022,ASSAULT -BODILY INJURY ONLY,Texas,Violent Crimes,ASSAULT
February-2023,LOST PROPERTY (NO OFFENSE),Texas,,OTHER
December-2021,FRAUD EXPLOITATION OF CHILD/ELDERLY/DISABLED( PC 32.53(c)),Texas,,OTHER
November-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Texas,,OTHER
March-2022,NATURAL DEATH (NO OFFENSE),Texas,,OTHER
August-2022,HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,Texas,,OTHER
July-2017,ROBBERY OF BUSINESS (AGG),Texas,Violent Crimes,ROBBERY
December-2015,ROBBERY OF INDIVIDUAL,Texas,Violent Crimes,ROBBERY
October-2022,CRIMINAL TRESPASS WARNING,Texas,,OTHER
October-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Texas,,OTHER
November-2022,INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),Texas,,OTHER
December-2022,POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,Texas,,OTHER
March-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas,,OTHER
January-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
September-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
March-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
September-2022,CRIMINAL TRESPASS WARNING,Texas,,OTHER
September-2022,UNAUTHORIZED USE OF MOTOR VEH - PRELIMINARY INVEST,Texas,,OTHER
September-2022,DWI,Texas,,OTHER
March-2022,FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,Texas,,OTHER
October-2022,CRIMINAL TRESPASS,Texas,,OTHER
January-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,ASSAULT -BODILY INJURY ONLY,Texas,Violent Crimes,ASSAULT
November-2022,BMV,Texas,,OTHER
August-2016,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
January-2015,ROBBERY OF BUSINESS (AGG),Texas,Violent Crimes,ROBBERY
September-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,BMV,Texas,,OTHER
April-2022,FOUND PROPERTY (NO OFFENSE),Texas,,OTHER
July-2022,BURGLARY - PRELIMINARY INVESTIGATION,Texas,Property Crimes,BURGLARY
October-2022,BMV,Texas,,OTHER
September-2022,THEFT OF FIREARM,Texas,,OTHER
October-2022,FOUND PROPERTY (NO OFFENSE),Texas,,OTHER
November-2022,BMV,Texas,,OTHER
November-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
December-2022,TERRORISTIC THREAT FEAR IMMINENT SBI,Texas,,OTHER
October-2022,THEFT - PRELIMINARY INVESTIGATION,Texas,,OTHER
December-2021,TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,Texas,,OTHER
September-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas,,OTHER
October-2022,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Texas,,OTHER
September-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
January-2023,ASSAULT -BODILY INJURY ONLY,Texas,Violent Crimes,ASSAULT
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2021,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas,,OTHER
December-2015,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
February-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
July-2022,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
July-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2022,ROBBERY OF INDIVIDUAL - PRELIMINARY INVESTIGATION,Texas,Violent Crimes,ROBBERY
October-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
January-2016,ROBBERY OF BUSINESS (AGG),Texas,Violent Crimes,ROBBERY
March-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2022,HARASSMENT,Texas,,OTHER
March-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2022,BMV,Texas,,OTHER
August-2022,BMV,Texas,,OTHER
October-2022,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY F3,Texas,,OTHER
September-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas,,OTHER
November-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
February-2023,DEADLY CONDUCT,Texas,,OTHER
November-2017,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
January-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
October-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
November-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
June-2014,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
September-2022,FOUND PROPERTY (NO OFFENSE),Texas,,OTHER
August-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
March-2017,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
November-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Texas,,OTHER
December-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
June-2022,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",Texas,,OTHER
September-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
August-2014,BURGLARY OF HABITATION - FORCED ENTRY,Texas,Property Crimes,BURGLARY
December-2015,ROBBERY OF INDIVIDUAL,Texas,Violent Crimes,ROBBERY
March-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
December-2022,FORGERY TO DEFRAUD OR HARM OF ANOTHER,Texas,,OTHER
March-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
December-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
January-2023,TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,Texas,,OTHER
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas,Property Crimes,BURGLARY
February-2022,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
February-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
November-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2022,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Texas,,OTHER
February-2015,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Texas,,OTHER
January-2023,POSS MARIJUANA <2OZ,Texas,,OTHER
April-2016,BURGLARY OF BUILDING - FORCED ENTRY,Texas,Property Crimes,BURGLARY
August-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2015,BMV,Texas,,OTHER
October-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
October-2022,POSS MARIJUANA <2OZ,Texas,,OTHER
February-2023,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
June-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
January-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
November-2022,FOUND PROPERTY (NO OFFENSE),Texas,,OTHER
October-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
November-2022,LOST PROPERTY (NO OFFENSE),Texas,,OTHER
December-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
August-2022,ACCIDENT INV DAMAGE TO VEHICLE <$200,Texas,,OTHER
September-2022,ASSAULT -BODILY INJURY ONLY,Texas,Violent Crimes,ASSAULT
July-2015,ROBBERY OF INDIVIDUAL,Texas,Violent Crimes,ROBBERY
June-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2022,ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,Texas,Violent Crimes,ASSAULT
July-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,POSS MARIJUANA <2OZ,Texas,,OTHER
April-2021,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
May-2021,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2022,SUSPICIOUS PERSON MIR (MISCELLANEOUS INCIDENT REPORT NO OFFENSE),Texas,,OTHER
August-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
June-2022,RECKLESS DAMAGE,Texas,,OTHER
September-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas,Property Crimes,BURGLARY
November-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Texas,,OTHER
August-2022,THEFT - PRELIMINARY INVESTIGATION,Texas,,OTHER
November-2022,CRIMINAL TRESPASS,Texas,,OTHER
September-2022,BMV,Texas,,OTHER
November-2016,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
September-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
January-2023,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
March-2023,BMV,Texas,,OTHER
June-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Texas,,OTHER
October-2017,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
September-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Texas,,OTHER
June-2016,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
December-2021,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas,,OTHER
September-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas,,OTHER
August-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
December-2021,DEADLY CONDUCT,Texas,,OTHER
September-2022,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
October-2022,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Texas,,OTHER
October-2022,BURGLARY OF BUILDING - FORCED ENTRY,Texas,Property Crimes,BURGLARY
December-2021,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2022,THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),Texas,,OTHER
October-2014,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Texas,,OTHER
October-2021,NATURAL DEATH (NO OFFENSE),Texas,,OTHER
August-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas,,OTHER
May-2022,CRUELTY NON-LIVESTOCK ANIMALS - PRELIMINARY INVESTIGATION,Texas,,OTHER
March-2017,ROBBERY OF BUSINESS (AGG),Texas,Violent Crimes,ROBBERY
October-2022,DWI W/OPEN CONTAINER,Texas,,OTHER
September-2022,BMV,Texas,,OTHER
October-2022,NATURAL DEATH (NO OFFENSE),Texas,,OTHER
December-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2022,BURGLARY OF BUILDING - NO FORCED ENTRY,Texas,Property Crimes,BURGLARY
October-2022,DEADLY CONDUCT DISCHARGE FIREARM,Texas,,OTHER
October-2022,BURGLARY OF HABITATION - FORCED ENTRY,Texas,Property Crimes,BURGLARY
October-2022,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas,,OTHER
September-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Texas,,OTHER
November-2022,BMV,Texas,,OTHER
July-2022,DEADLY CONDUCT,Texas,,OTHER
September-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
January-2022,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas,,OTHER
December-2022,INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),Texas,,OTHER
September-2022,DOG BITE - INJURED PERSON,Texas,,OTHER
July-2021,FOUND PROPERTY (NO OFFENSE),Texas,,OTHER
September-2022,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Texas,,OTHER
December-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
September-2022,THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),Texas,,OTHER
January-2017,BURGLARY OF BUILDING - FORCED ENTRY,Texas,Property Crimes,BURGLARY
September-2022,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Texas,,OTHER
September-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas,,OTHER
August-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas,,OTHER
September-2022,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Texas,,OTHER
May-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
August-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
December-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
June-2022,ASSAULT -BODILY INJURY ONLY,Texas,Violent Crimes,ASSAULT
September-2022,HARASSMENT,Texas,,OTHER
December-2021,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas,,OTHER
September-2022,PUBLIC INTOXICATION,Texas,,OTHER
January-2022,POSS MARIJUANA >4OZ< OR EQUAL 5LBS,Texas,,OTHER
December-2015,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
January-2023,CRIMINAL TRESPASS WARNING,Texas,,OTHER
October-2022,BMV,Texas,,OTHER
November-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
September-2022,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Texas,,OTHER
July-2021,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas,,OTHER
February-2023,CRIMINAL TRESPASS WARNING,Texas,,OTHER
July-2017,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
January-2023,POSS CONT SUB NOT IN PEN GRP,Texas,,OTHER
March-2023,FOUND PROPERTY (NO OFFENSE),Texas,,OTHER
October-2016,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
May-2020,FOUND PROPERTY (NO OFFENSE),Texas,,OTHER
May-2022,ROBBERY OF INDIVIDUAL (AGG),Texas,Violent Crimes,ROBBERY
June-2016,BURGLARY OF BUILDING - FORCED ENTRY,Texas,Property Crimes,BURGLARY
March-2022,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Texas,,OTHER
September-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2014,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
July-2021,DEADLY CONDUCT,Texas,,OTHER
September-2022,DEADLY CONDUCT,Texas,,OTHER
March-2022,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Texas,,OTHER
September-2018,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,BMV,Texas,,OTHER
October-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
December-2022,ABANDONED PROPERTY (NO OFFENSE),Texas,,OTHER
September-2022,BURGLARY OF HABITATION -NO FORCED ENTRY,Texas,Property Crimes,BURGLARY
February-2023,BMV,Texas,,OTHER
October-2022,EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),Texas,,OTHER
November-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
July-2022,CRIM MISCHIEF > OR EQUAL $100 < $750,Texas,,OTHER
August-2021,THEFT OF SERVICE > OR EQUAL $100 <$750 PC31.04(e2),Texas,,OTHER
September-2022,BURGLARY OF HABITATION - FORCED ENTRY,Texas,Property Crimes,BURGLARY
November-2021,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
December-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,CRIMINAL TRESPASS WARNING,Texas,,OTHER
September-2022,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Texas,,OTHER
August-2022,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Texas,,OTHER
April-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
October-2014,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Texas,,OTHER
October-2022,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
September-2022,HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,Texas,,OTHER
August-2017,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
February-2016,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Texas,,OTHER
