cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,patrol_boro,station_name,vic_age_group,vic_race,vic_sex
279577202,2023-12-26T00:00:00.000,12:00:00,2023-12-26T00:00:00.000,12:15:00,67.0,2023-12-27T00:00:00.000,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1006527.0,180138.0,25-44,WHITE HISPANIC,F,,40.661088,-73.919703,"(40.661088, -73.919703)",PATROL BORO BKLYN SOUTH,(null),<18,UNKNOWN,F
279566662,2023-12-27T00:00:00.000,12:50:00,2023-12-27T00:00:00.000,12:56:00,43.0,2023-12-27T00:00:00.000,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1022943.0,240733.0,45-64,BLACK,M,,40.827348,-73.860188,"(40.827348, -73.860188)",PATROL BORO BRONX,(null),UNKNOWN,UNKNOWN,E
279566629,2023-12-27T00:00:00.000,11:50:00,2023-12-27T00:00:00.000,12:00:00,9.0,2023-12-27T00:00:00.000,113,FORGERY,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,MANHATTAN,(null),PUBLIC BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),987664.0,206184.0,25-44,BLACK HISPANIC,M,,40.73260342006272,-73.98768154851246,"(40.73260342006272, -73.98768154851246)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,E
279566720,2023-12-25T00:00:00.000,22:30:00,2023-12-25T00:00:00.000,22:40:00,114.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,357.0,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),1193,1002692.0,220879.0,(null),(null),(null),,40.772921,-73.933414,"(40.772921, -73.933414)",PATROL BORO QUEENS NORTH,(null),18-24,WHITE HISPANIC,M
279574008,2023-12-27T00:00:00.000,11:13:00,2023-12-27T00:00:00.000,11:15:00,115.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,(null),(null),(null),1016356.0,212065.0,(null),(null),(null),,40.748688,-73.884123,"(40.748688, -73.884123)",PATROL BORO QUEENS NORTH,(null),UNKNOWN,UNKNOWN,D
279669402,2023-12-25T00:00:00.000,08:00:00,2023-12-25T00:00:00.000,08:10:00,60.0,2023-12-27T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),987419.0,148269.0,UNKNOWN,BLACK,M,,40.57364,-73.988589,"(40.57364, -73.988589)",PATROL BORO BKLYN SOUTH,(null),45-64,BLACK HISPANIC,F
279593083,2023-12-23T00:00:00.000,20:00:00,,(null),122.0,2023-12-27T00:00:00.000,341,PETIT LARCENY,339.0,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),958156.0,147210.0,UNKNOWN,UNKNOWN,U,,40.570697,-74.093922,"(40.570697, -74.093922)",PATROL BORO STATEN ISLAND,(null),18-24,WHITE,M
279573912,2023-12-15T00:00:00.000,15:00:00,,(null),6.0,2023-12-27T00:00:00.000,109,GRAND LARCENY,402.0,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),983439.0,208426.0,UNKNOWN,UNKNOWN,U,,40.738759,-74.002926,"(40.738759, -74.002926)",PATROL BORO MAN SOUTH,(null),45-64,WHITE,M
279533102,2023-12-27T00:00:00.000,00:25:00,2023-12-27T00:00:00.000,00:35:00,105.0,2023-12-27T00:00:00.000,348,VEHICLE AND TRAFFIC LAWS,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,QUEENS,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1058940.0,191487.0,25-44,ASIAN / PACIFIC ISLANDER,M,,40.69194914854765,-73.73066619965472,"(40.69194914854765, -73.73066619965472)",PATROL BORO QUEENS SOUTH,(null),UNKNOWN,UNKNOWN,E
279547819,2023-12-26T00:00:00.000,23:30:00,2023-12-26T00:00:00.000,23:45:00,102.0,2023-12-27T00:00:00.000,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1030953.0,194101.0,25-44,ASIAN / PACIFIC ISLANDER,F,,40.69932415739,-73.831570887672,"(40.69932415739, -73.831570887672)",PATROL BORO QUEENS SOUTH,(null),<18,ASIAN / PACIFIC ISLANDER,F
279569062,2023-12-26T00:00:00.000,18:00:00,2023-12-26T00:00:00.000,21:00:00,6.0,2023-12-27T00:00:00.000,109,GRAND LARCENY,403.0,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,MANHATTAN,INSIDE,STORE UNCLASSIFIED,N.Y. POLICE DEPT,0,(null),(null),(null),986736.0,206545.0,UNKNOWN,UNKNOWN,U,,40.733596,-73.991029,"(40.733596, -73.991029)",PATROL BORO MAN SOUTH,(null),UNKNOWN,UNKNOWN,D
279685121,2023-12-27T00:00:00.000,13:45:00,2023-12-27T00:00:00.000,13:54:00,25.0,2023-12-27T00:00:00.000,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1001351.0,232462.0,(null),(null),(null),,40.804715,-73.938227,"(40.804715, -73.938227)",PATROL BORO MAN NORTH,(null),45-64,BLACK,M
279589522,2023-12-27T00:00:00.000,17:25:00,2023-12-27T00:00:00.000,17:30:00,69.0,2023-12-27T00:00:00.000,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,BROOKLYN,(null),STREET,N.Y. POLICE DEPT,0,(null),(null),(null),1011154.0,173632.0,25-44,BLACK,M,,40.64321545493608,-73.90305456866254,"(40.64321545493608, -73.90305456866254)",PATROL BORO BKLYN SOUTH,(null),UNKNOWN,UNKNOWN,E
279671108,2023-12-24T00:00:00.000,04:44:00,2023-12-27T00:00:00.000,20:35:00,63.0,2023-12-27T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,(null),N.Y. POLICE DEPT,0,(null),(null),(null),1004957.0,164818.0,25-44,BLACK,F,,40.619042,-73.92541,"(40.619042, -73.92541)",PATROL BORO BKLYN SOUTH,(null),25-44,BLACK,F
279757838,2023-12-27T00:00:00.000,16:43:00,2023-12-27T00:00:00.000,16:45:00,75.0,2023-12-27T00:00:00.000,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,BROOKLYN,FRONT OF,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1020650.0,182896.0,(null),(null),(null),,40.668611,-73.868785,"(40.668611, -73.868785)",PATROL BORO BKLYN NORTH,(null),UNKNOWN,UNKNOWN,D
