DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
100118417,10/09/2010 12:00:00 AM,10/09/2010 12:00:00 AM,1830,1,Central,119,1,350,"THEFT, PERSON",0344 0400,23,F,O,116.0,OTHER/OUTSIDE,,,AA,Adult Arrest,350.0,,,,ALAMEDA,CESAR E CHAVEZ,34.0581,-118.2371
100118421,10/10/2010 12:00:00 AM,10/09/2010 12:00:00 AM,2130,1,Central,121,1,330,BURGLARY FROM VEHICLE,0344 1307,40,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,200 N  FIGUEROA                     ST,,34.0584,-118.2513
100118424,10/09/2010 12:00:00 AM,10/07/2010 12:00:00 AM,800,1,Central,166,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1810,52,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,500 E  7TH                          ST,,34.0412,-118.2474
100118425,10/09/2010 12:00:00 AM,10/09/2010 12:00:00 AM,2030,1,Central,155,2,624,BATTERY - SIMPLE ASSAULT,0416,48,M,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624.0,,,,5TH,WALL                         ST,34.0449,-118.2458
100118426,10/09/2010 12:00:00 AM,10/09/2010 12:00:00 AM,1830,1,Central,152,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432,43,M,W,503.0,HOTEL,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,500 S  GRAND                        AV,,34.0502,-118.254
100118427,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,530,1,Central,138,2,624,BATTERY - SIMPLE ASSAULT,0416,62,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3RD,WALL                         ST,34.048,-118.2438
100118428,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,940,1,Central,111,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,YALE                         ST,ALPINE                       ST,34.0649,-118.2399
100118432,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,440,1,Central,157,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,39,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,740.0,,,,6TH,CROCKER,34.0412,-118.2436
100118433,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,200,1,Central,143,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0429,23,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,400 S  SPRING                       ST,,34.0488,-118.2483
100118434,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1300,1,Central,176,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,MAPLE,7TH,34.0424,-118.2493
100118436,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1630,1,Central,135,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0408 0429 1821 2000,23,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,3RD,BROADWAY,34.0143,-118.4945
100118437,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1505,1,Central,153,1,210,ROBBERY,0337 0344 0601,32,F,H,406.0,OTHER STORE,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,600 S  BROADWAY,,34.0467,-118.252
100118438,10/10/2010 12:00:00 AM,10/09/2010 12:00:00 AM,2330,1,Central,162,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,7TH,HOPE,34.048,-118.2577
100118440,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,2030,1,Central,176,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0601 1609,51,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,745.0,,,,800    SANTEE                       ST,,34.0413,-118.2517
100118441,10/10/2010 12:00:00 AM,10/07/2010 12:00:00 AM,1800,1,Central,142,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0601 0917 1605,34,M,W,503.0,HOTEL,,,IC,Invest Cont,341.0,,,,400 S  FIGUEROA                     ST,,34.0535,-118.256
100118443,10/11/2010 12:00:00 AM,10/08/2010 12:00:00 AM,1015,1,Central,145,1,330,BURGLARY FROM VEHICLE,0344 1307 1302 1402 1609,25,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,998.0,,,6TH,MAIN,34.3775,-118.527
100118444,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1850,1,Central,133,1,210,ROBBERY,0337 0432 0601,17,M,H,210.0,RESTAURANT/FAST FOOD,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,3RD,BROADWAY,34.051,-118.248
100118445,10/10/2010 12:00:00 AM,10/09/2010 12:00:00 AM,1000,1,Central,162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1609,41,F,W,108.0,PARKING LOT,,,IC,Invest Cont,745.0,,,,7TH                          ST,GRAND                        AV,34.0473,-118.2566
100118446,10/10/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1940,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1402,47,M,B,102.0,SIDEWALK,218.0,OTHER CUTTING INSTRUMENT,IC,Invest Cont,230.0,,,,CROCKER,5TH                          ST,34.0435,-118.2427
100118447,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1530,1,Central,171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0429,23,M,H,116.0,OTHER/OUTSIDE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,11TH                         ST,GEORGIA                      ST,34.0442,-118.268
100118448,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1530,1,Central,171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,30,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,11TH,GEORGIA,34.0442,-118.268
100118449,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1530,1,Central,171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,26,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,11TH,GEORGIA,34.0442,-118.268
100118450,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,2110,1,Central,165,1,210,ROBBERY,0344 0416,48,M,B,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,7TH,MAPLE,34.0419,-118.2485
100118451,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,2000,1,Central,143,1,310,BURGLARY,0324 0344,42,M,H,108.0,PARKING LOT,,,IC,Invest Cont,310.0,,,,400 S  BROADWAY,,34.0495,-118.2494
100118454,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,400,1,Central,157,1,210,ROBBERY,0344 0400 0416 0429 0906,48,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,7TH                          ST,CROCKER,34.0396,-118.2451
100118455,10/07/2010 12:00:00 AM,09/05/2010 12:00:00 AM,1200,1,Central,118,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0533 1258,11,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,810.0,,,,1300    CARDINAL                     ST,,34.0635,-118.2313
100118456,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1600,1,Central,192,1,310,BURGLARY,0344 1607,45,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,1400 S  GRAND                        AV,,34.0372,-118.2654
100118457,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,330,1,Central,144,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0344,21,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,930.0,,,,400 S  MAIN                         ST,,34.0482,-118.2472
100118462,10/11/2010 12:00:00 AM,10/04/2010 12:00:00 AM,800,1,Central,156,1,121,"RAPE, FORCIBLE",0400 0516 0537 0531 0532 0527,50,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121.0,,,,500    SAN JULIAN                   ST,,34.0446,-118.245
100118465,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,2000,1,Central,119,1,220,ATTEMPTED ROBBERY,0334 0337 0411,34,M,B,101.0,STREET,212.0,BOTTLE,IC,Invest Cont,220.0,,,,ALAMEDA,CESAR E CHAVEZ,34.0581,-118.2371
100118466,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,1700,1,Central,156,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6TH,SAN JULIAN,34.0423,-118.2452
100118471,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,210,1,Central,192,1,330,BURGLARY FROM VEHICLE,0344 1302 1609,39,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1500 S  GRAND                        AV,,34.0365,-118.2659
100118472,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,2030,1,Central,192,1,330,BURGLARY FROM VEHICLE,0344 1307 1302,33,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1500 S  GRAND                        AV,,34.0365,-118.2659
100118473,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,1000,1,Central,135,2,624,BATTERY - SIMPLE ASSAULT,0416 2004,59,F,W,504.0,OTHER RESIDENCE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,300 S  LOS ANGELES                  ST,,34.0485,-118.2447
100118474,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,920,1,Central,158,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1300,49,M,B,101.0,STREET,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,7TH,CENTRAL,34.0364,-118.2406
100118476,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,415,1,Central,165,1,220,ATTEMPTED ROBBERY,0334 0345 0355 0400 0416 0429 0906 1019,48,M,B,101.0,STREET,207.0,OTHER KNIFE,IC,Invest Cont,220.0,,,,6TH,LOS ANGELES,34.0439,-118.2479
100118477,10/11/2010 12:00:00 AM,10/05/2010 12:00:00 AM,630,1,Central,176,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0917 1213,24,M,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,341.0,,,,400 E  7TH                          ST,,34.0419,-118.2485
100118480,10/11/2010 12:00:00 AM,10/08/2010 12:00:00 AM,800,1,Central,132,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,30,M,W,503.0,HOTEL,,,IC,Invest Cont,341.0,,,,200 S  OLIVE                        ST,,34.0538,-118.2488
100118482,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,2100,1,Central,131,1,330,BURGLARY FROM VEHICLE,0344 1307 1302 1609,41,F,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,2ND,FIGUEROA,34.0574,-118.2545
100118484,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,1620,1,Central,162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0601 1402,23,M,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont,440.0,998.0,,,700 W  7TH                          ST,,34.048,-118.2577
100118486,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,845,1,Central,185,2,860,BATTERY WITH SEXUAL CONTACT,0305 0345 0522,25,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,MAIN                         ST,11TH                         ST,34.0391,-118.2581
100118487,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,1335,1,Central,156,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416,62,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236.0,,,,6TH                          ST,SAN JULIAN,34.0423,-118.2452
100118488,10/11/2010 12:00:00 AM,10/11/2010 12:00:00 AM,2125,1,Central,176,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0429 2000,50,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,800 S  SAN PEDRO                    ST,,34.0386,-118.249
100118491,10/12/2010 12:00:00 AM,03/01/2010 12:00:00 AM,800,1,Central,176,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,38,M,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont,668.0,,,,700    SAN JULIAN                   ST,,34.0412,-118.2474
100118495,10/12/2010 12:00:00 AM,10/11/2010 12:00:00 AM,500,1,Central,127,1,330,BURGLARY FROM VEHICLE,0344 1211 1605,60,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,200 E  TEMPLE                       ST,,34.0534,-118.2409
100118502,10/12/2010 12:00:00 AM,10/12/2010 12:00:00 AM,755,1,Central,153,2,900,VIOLATION OF COURT ORDER,0432 2004,45,F,B,101.0,STREET,,,AO,Adult Other,900.0,,,,5TH,BROADWAY,34.0481,-118.2507
100118507,10/12/2010 12:00:00 AM,10/12/2010 12:00:00 AM,30,1,Central,142,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,30,M,W,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,400 S  FIGUEROA                     ST,,34.0535,-118.256
100118511,10/12/2010 12:00:00 AM,10/08/2010 12:00:00 AM,1100,1,Central,171,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,61,M,W,503.0,HOTEL,,,IC,Invest Cont,341.0,,,,900 W  OLYMPIC                      BL,,34.0454,-118.2657
100118512,10/12/2010 12:00:00 AM,10/11/2010 12:00:00 AM,2100,1,Central,156,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,50,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,400 E  6TH                          ST,,34.0428,-118.2461
100118514,10/12/2010 12:00:00 AM,10/11/2010 12:00:00 AM,2050,1,Central,162,1,310,BURGLARY,0321 2108,24,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,700 S  FLOWER                       ST,,34.0487,-118.2588
100118515,10/12/2010 12:00:00 AM,10/08/2010 12:00:00 AM,1500,1,Central,166,1,310,BURGLARY,0344,59,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100118517,10/11/2010 12:00:00 AM,10/10/2010 12:00:00 AM,2000,1,Central,142,1,330,BURGLARY FROM VEHICLE,0344 1609,54,F,P,101.0,STREET,,,IC,Invest Cont,330.0,,,,3RD,HOPE                         ST,34.0537,-118.2523
100118519,10/12/2010 12:00:00 AM,10/09/2010 12:00:00 AM,200,1,Central,182,1,210,ROBBERY,0344 0355 0416 0429 0917 1802,20,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,900 S  HILL                         ST,,34.043,-118.2571
100118520,10/12/2010 12:00:00 AM,10/11/2010 12:00:00 AM,2200,1,Central,128,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,19,F,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,1ST                          ST,CENTRAL                      ST,34.0492,-118.2391
100118523,10/12/2010 12:00:00 AM,08/29/2010 12:00:00 AM,800,1,Central,152,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,500 S  HILL                         ST,,34.0488,-118.2518
100118524,10/12/2010 12:00:00 AM,10/12/2010 12:00:00 AM,1105,1,Central,159,1,210,ROBBERY,0346 0416 1229 1402,54,M,O,602.0,BANK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,998.0,,,6TH,ALAMEDA,34.0382,-118.2384
100118526,10/12/2010 12:00:00 AM,10/12/2010 12:00:00 AM,1040,1,Central,105,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,9,M,O,109.0,PARK/PLAYGROUND,,,AA,Adult Arrest,740.0,998.0,,,500    AMADOR                       ST,,34.0736,-118.2312
100118531,10/12/2010 12:00:00 AM,10/10/2010 12:00:00 AM,2200,1,Central,182,2,762,LEWD CONDUCT,0361 0913 0528 0524,40,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,762.0,,,,1000 S  HOPE                         ST,,34.0437,-118.2617
100118538,10/12/2010 12:00:00 AM,10/11/2010 12:00:00 AM,715,1,Central,192,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,53,F,H,701.0,HOSPITAL,,,IC,Invest Cont,440.0,,,,1400 S  GRAND                        AV,,34.0372,-118.2654
100209206,04/03/2010 12:00:00 AM,04/02/2010 12:00:00 AM,1730,20,Olympic,2019,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,COMMONWEALTH,2ND,34.0705,-118.2857
100118543,10/12/2010 12:00:00 AM,10/12/2010 12:00:00 AM,1750,1,Central,163,2,624,BATTERY - SIMPLE ASSAULT,0416 0917 2004,21,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7TH,BROADWAY,34.0452,-118.2534
100118548,10/12/2010 12:00:00 AM,10/12/2010 12:00:00 AM,115,1,Central,171,2,624,BATTERY - SIMPLE ASSAULT,1501 2000,25,F,B,710.0,OTHER PREMISE,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
100118549,10/12/2010 12:00:00 AM,10/09/2010 12:00:00 AM,2345,1,Central,129,2,624,BATTERY - SIMPLE ASSAULT,0342 0416 0444 2002,26,M,H,207.0,BAR/COCKTAIL/NIGHTCLUB,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,900 E  1ST                          ST,,34.0484,-118.2338
100118552,10/13/2010 12:00:00 AM,10/13/2010 12:00:00 AM,810,1,Central,127,2,623,BATTERY POLICE (SIMPLE),,0,M,O,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623.0,,,,100 N  LOS ANGELES                  ST,,34.0515,-118.2424
100118553,10/13/2010 12:00:00 AM,10/12/2010 12:00:00 AM,2150,1,Central,124,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,48,M,O,101.0,STREET,,,IC,Invest Cont,930.0,,,,SAN PEDRO                    ST,1ST                          ST,34.0504,-118.2409
100118560,10/13/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1100,1,Central,181,1,330,BURGLARY FROM VEHICLE,0344,57,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1200 S  FIGUEROA                     ST,,34.0423,-118.2666
100118562,10/13/2010 12:00:00 AM,10/12/2010 12:00:00 AM,1930,1,Central,111,1,310,BURGLARY,0344,51,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,700 N  BROADWAY,,34.0604,-118.2393
100118563,10/13/2010 12:00:00 AM,10/12/2010 12:00:00 AM,930,1,Central,181,1,330,BURGLARY FROM VEHICLE,,39,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1200 S  FIGUEROA                     ST,,34.0423,-118.2666
100118566,10/13/2010 12:00:00 AM,09/14/2010 12:00:00 AM,600,1,Central,155,2,946,OTHER MISCELLANEOUS CRIME,,57,M,B,203.0,OTHER BUSINESS,,,AA,Adult Arrest,946.0,,,,200 E  6TH                          ST,,34.0446,-118.249
100118573,10/13/2010 12:00:00 AM,10/12/2010 12:00:00 AM,2345,1,Central,119,2,624,BATTERY - SIMPLE ASSAULT,0416,50,F,B,215.0,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
100118575,10/13/2010 12:00:00 AM,10/13/2010 12:00:00 AM,930,1,Central,163,2,624,BATTERY - SIMPLE ASSAULT,0400,20,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,300 W  8TH                          ST,,34.0438,-118.2547
100118577,10/12/2010 12:00:00 AM,10/04/2010 12:00:00 AM,400,1,Central,155,1,210,ROBBERY,0342 0344 0416 0906 1008 1218 1239,46,M,B,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210.0,,,,6TH,SAN JULIAN                   ST,34.0423,-118.2452
100118580,10/12/2010 12:00:00 AM,10/09/2010 12:00:00 AM,1330,1,Central,176,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1606,29,M,O,203.0,OTHER BUSINESS,,,AO,Adult Other,440.0,,,,500 E  7TH                          ST,,34.0412,-118.2474
100118588,10/13/2010 12:00:00 AM,10/13/2010 12:00:00 AM,1000,1,Central,181,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1205,41,M,K,713.0,CONVENTION CENTER,,,IC,Invest Cont,440.0,,,,1200 S  FIGUEROA                     ST,,34.0423,-118.2666
100118589,10/13/2010 12:00:00 AM,10/13/2010 12:00:00 AM,1305,1,Central,155,2,624,BATTERY - SIMPLE ASSAULT,0416,33,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,5TH                          ST,WALL                         ST,34.0449,-118.2458
100118590,10/13/2010 12:00:00 AM,10/12/2010 12:00:00 AM,1500,1,Central,148,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,53,M,H,710.0,OTHER PREMISE,,,IC,Invest Cont,341.0,,,,400 S  SAN PEDRO                    ST,,34.0458,-118.243
100118591,10/13/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1730,1,Central,148,2,354,THEFT OF IDENTITY,0377,36,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,400 S  SAN PEDRO                    ST,,34.0458,-118.243
100118592,10/13/2010 12:00:00 AM,10/13/2010 12:00:00 AM,1000,1,Central,154,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,36,F,H,203.0,OTHER BUSINESS,,,AO,Adult Other,956.0,,,,500 S  LOS ANGELES                  ST,,34.0461,-118.2476
100118605,10/13/2010 12:00:00 AM,10/05/2010 12:00:00 AM,1700,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,37,M,H,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,341.0,,,,700 W  7TH                          ST,,34.048,-118.2577
100118606,10/13/2010 12:00:00 AM,10/11/2010 12:00:00 AM,1800,1,Central,163,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,46,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745.0,,,,700 S  BROADWAY,,34.0452,-118.2534
100118607,10/13/2010 12:00:00 AM,10/03/2010 12:00:00 AM,1400,1,Central,101,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1202,61,F,W,504.0,OTHER RESIDENCE,,,IC,Invest Cont,341.0,,,,900    WHITE KNOLL                  DR,,34.0671,-118.2483
100118608,10/13/2010 12:00:00 AM,10/13/2010 12:00:00 AM,1230,1,Central,135,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,54,F,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,440.0,,,,300 S  LOS ANGELES                  ST,,34.0485,-118.2447
100118609,10/13/2010 12:00:00 AM,10/10/2010 12:00:00 AM,1200,1,Central,105,1,330,BURGLARY FROM VEHICLE,0344 1602,35,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,400    COTTAGE HOME                 ST,,34.0673,-118.2354
100118610,10/13/2010 12:00:00 AM,10/09/2010 12:00:00 AM,2200,1,Central,162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,30,F,H,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440.0,,,,800 S  GRAND                        AV,,34.0459,-118.2579
100118613,10/13/2010 12:00:00 AM,10/13/2010 12:00:00 AM,1025,1,Central,174,2,624,BATTERY - SIMPLE ASSAULT,0416,41,M,B,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,700 S  LOS ANGELES                  ST,,34.0433,-118.2504
100118614,10/13/2010 12:00:00 AM,10/07/2010 12:00:00 AM,400,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,45,M,B,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,6TH                          ST,STANFORD,34.0408,-118.2428
100118617,10/13/2010 12:00:00 AM,10/12/2010 12:00:00 AM,2345,1,Central,174,2,624,BATTERY - SIMPLE ASSAULT,0416 0603,54,M,B,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,700 S  MAIN                         ST,,34.0439,-118.2514
