DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
100308917,03/15/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1240,3,Southwest,363,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,55,F,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,3600 W  MARTIN LUTHER KING JR        BL,,34.011,-118.3351
100308931,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,2155,3,Southwest,357,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0421 0429 2000,34,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1300 W  36TH                         PL,,34.0219,-118.2974
100308934,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,230,3,Southwest,358,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1251,20,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,1000 W  34TH                         ST,,34.0243,-118.2876
100308935,03/14/2010 12:00:00 AM,03/10/2010 12:00:00 AM,900,3,Southwest,358,1,480,BIKE - STOLEN,0344,35,F,W,102.0,SIDEWALK,,,IC,Invest Cont,480.0,,,,3700    MC CLINTOCK                  AV,,34.0273,-118.2854
100308938,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1445,3,Southwest,355,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,2000 W  35TH                         ST,,34.0246,-118.3156
100308939,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,30,3,Southwest,316,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1800 W  24TH                         ST,,34.0346,-118.303
100308940,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,1945,3,Southwest,359,1,330,BURGLARY FROM VEHICLE,0329 0344 1307,31,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,3800    FLOWER                       DR,,34.0158,-118.2816
100308944,03/14/2010 12:00:00 AM,03/13/2010 12:00:00 AM,200,3,Southwest,361,2,624,BATTERY - SIMPLE ASSAULT,0416 2000,20,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,NICOLET                      AV,AUGUST                       ST,34.0173,-118.3505
100308945,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,100,3,Southwest,362,1,210,ROBBERY,0302 0337 0344 1310,41,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,210.0,,,,NICOLET                      AV,COLISEUM                     ST,34.0178,-118.3504
100609742,03/24/2010 12:00:00 AM,03/24/2010 12:00:00 AM,1000,6,Hollywood,666,1,480,BIKE - STOLEN,0344,23,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,480.0,,,,IVAR,DE LONGPRE,34.0962,-118.3287
100308948,03/15/2010 12:00:00 AM,01/01/2010 12:00:00 AM,800,3,Southwest,317,2,354,THEFT OF IDENTITY,0100,50,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1500 W  23RD                         ST,,34.0351,-118.2915
100308950,03/13/2010 12:00:00 AM,03/12/2010 12:00:00 AM,2100,3,Southwest,393,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1501,26,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,4200    CRENSHAW                     BL,,34.0085,-118.3351
100308951,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,330,3,Southwest,392,1,330,BURGLARY FROM VEHICLE,0344 1300 1307,33,F,B,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,,,,48TH,CRENSHAW,34.0,-118.3308
100308952,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,945,3,Southwest,378,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1251,9,F,W,710.0,OTHER PREMISE,,,IC,Invest Cont,341.0,,,,700    STATE                        DR,,34.0164,-118.2851
100308957,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1110,3,Southwest,393,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 1402,51,M,B,119.0,"PORCH, RESIDENTIAL",109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,230.0,998.0,,,4100    11TH                         AV,,34.01,-118.3296
100308962,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,1815,3,Southwest,396,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 2000,37,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,4300 S  HOOVER                       ST,,34.0054,-118.2872
100308963,03/15/2010 12:00:00 AM,03/12/2010 12:00:00 AM,2300,3,Southwest,376,1,310,BURGLARY,0321 0344,60,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,3900 S  NORMANDIE                    AV,,34.0155,-118.3002
100308965,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,720,3,Southwest,337,1,350,"THEFT, PERSON",0305 0344,82,F,A,101.0,STREET,,,IC,Invest Cont,350.0,,,,JEFFERSON                    BL,WESTERN                      AV,34.0256,-118.3089
