ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4283280,HL501799,07/22/2005 10:40:11 PM,022XX W DEVON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,2412,24.0,50.0,2.0,18,1160031.0,1942447.0,2005,02/28/2018 03:56:25 PM,41.997786161,-87.686658323,"(41.997786161, -87.686658323)"
4241343,HL564209,08/18/2005 09:30:00 PM,052XX W DIVISION ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,2532,25.0,37.0,25.0,06,1141009.0,1907488.0,2005,02/28/2018 03:56:25 PM,41.902228286,-87.757498152,"(41.902228286, -87.757498152)"
4135650,HL466734,07/06/2005 01:00:00 PM,108XX S MACKINAW AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,432,4.0,10.0,52.0,06,1200204.0,1833710.0,2005,02/28/2018 03:56:25 PM,41.698482209,-87.54256283,"(41.698482209, -87.54256283)"
4123363,HL460019,07/03/2005 12:50:00 PM,025XX N CENTRAL AVE,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,2515,25.0,30.0,19.0,06,1138617.0,1916243.0,2005,02/28/2018 03:56:25 PM,41.926296734,-87.766071756,"(41.926296734, -87.766071756)"
4102516,HL442868,06/02/2005 08:00:00 PM,062XX S CLAREMONT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,False,825,8.0,15.0,66.0,26,1161799.0,1863197.0,2005,02/28/2018 03:56:25 PM,41.780280722,-87.682366139,"(41.780280722, -87.682366139)"
4181365,HL507924,07/25/2005 08:30:00 PM,015XX E 66TH PL,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,321,3.0,5.0,42.0,07,1187538.0,1861203.0,2005,02/28/2018 03:56:25 PM,41.774235577,-87.588067009,"(41.774235577, -87.588067009)"
4067125,HL416064,06/12/2005 04:50:00 PM,016XX W DIVISION ST,0560,ASSAULT,SIMPLE,OTHER,False,False,1322,12.0,1.0,24.0,08A,1165424.0,1908071.0,2005,02/28/2018 03:56:25 PM,41.903343349,-87.667801443,"(41.903343349, -87.667801443)"
4169644,HL498755,07/21/2005 12:00:00 PM,009XX E 82ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,False,631,6.0,8.0,44.0,14,1183756.0,1850818.0,2005,02/10/2018 03:50:01 PM,41.745827204,-87.602254489,"(41.745827204, -87.602254489)"
4257322,HL574866,08/27/2005 12:13:00 PM,031XX W 63RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,False,True,823,8.0,15.0,66.0,08B,1156642.0,1862692.0,2005,02/10/2018 03:50:01 PM,41.779000503,-87.701286291,"(41.779000503, -87.701286291)"
4120655,HL455597,07/01/2005 03:00:00 AM,081XX S NORMAL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,622,6.0,21.0,44.0,05,1174379.0,1850971.0,2005,02/28/2018 03:56:25 PM,41.74646054,-87.636608946,"(41.74646054, -87.636608946)"
4076199,HL354823,05/13/2005 08:28:00 PM,017XX W 18TH ST,2027,NARCOTICS,POSS: CRACK,CTA PLATFORM,True,False,1223,12.0,25.0,31.0,18,1165047.0,1891451.0,2005,02/28/2018 03:56:25 PM,41.857744741,-87.669658337,"(41.857744741, -87.669658337)"
4216550,HL542800,08/11/2005 01:00:00 PM,072XX S WINCHESTER AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,735,7.0,17.0,67.0,06,1164607.0,1856728.0,2005,02/28/2018 03:56:25 PM,41.76247012,-87.672253816,"(41.76247012, -87.672253816)"
4255348,HL574143,08/27/2005 01:19:20 AM,050XX W HURON ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,1532,15.0,28.0,25.0,08A,1142718.0,1904178.0,2005,09/07/2021 03:41:02 PM,41.893113613,-87.75130314,"(41.893113613, -87.75130314)"
4292221,HL601447,09/09/2005 02:00:00 PM,029XX W DEVON AVE,0870,THEFT,POCKET-PICKING,STREET,False,False,2413,24.0,50.0,2.0,06,1155417.0,1942305.0,2005,02/28/2018 03:56:25 PM,41.99749087,-87.703635455,"(41.99749087, -87.703635455)"
4083050,HL358856,05/16/2005 03:50:00 AM,083XX S PULASKI RD,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN/LIQUOR STORE,True,False,834,8.0,18.0,70.0,22,1151189.0,1848809.0,2005,02/28/2018 03:56:25 PM,41.741011483,-87.721639617,"(41.741011483, -87.721639617)"
4259390,HL474503,07/10/2005 12:05:00 PM,046XX W ADDISON ST,2022,NARCOTICS,POSS: COCAINE,STREET,True,False,1731,17.0,30.0,15.0,18,1144762.0,1923528.0,2005,02/28/2018 03:56:25 PM,41.946173678,-87.743307258,"(41.946173678, -87.743307258)"
4155140,HL487399,07/15/2005 11:30:00 PM,122XX S ADA ST,0820,THEFT,$500 AND UNDER,OTHER,False,False,524,5.0,34.0,53.0,06,1169547.0,1823643.0,2005,02/28/2018 03:56:25 PM,41.671574274,-87.655103219,"(41.671574274, -87.655103219)"
4265450,HL582806,08/20/2005 04:00:00 PM,085XX W BRYN MAWR AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,1614,16.0,41.0,76.0,06,1118305.0,1936067.0,2005,02/10/2018 03:50:01 PM,41.981040824,-87.840291518,"(41.981040824, -87.840291518)"
4102027,HL378050,05/25/2005 01:03:00 PM,070XX S THROOP ST,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,STREET,True,False,734,7.0,17.0,67.0,18,1168878.0,1858018.0,2005,02/28/2018 03:56:25 PM,41.765918909,-87.656562758,"(41.765918909, -87.656562758)"
4297575,HL610105,09/12/2005 08:00:00 PM,047XX W DICKENS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,False,2522,25.0,31.0,19.0,14,1144520.0,1913543.0,2005,02/28/2018 03:56:25 PM,41.918778453,-87.74444887,"(41.918778453, -87.74444887)"
4066404,HL408918,06/09/2005 10:40:00 AM,041XX W 21ST PL,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,True,True,1012,10.0,24.0,29.0,04B,1149161.0,1889437.0,2005,09/07/2021 03:41:02 PM,41.852540231,-87.728021961,"(41.852540231, -87.728021961)"
11879771,JC495633,01/01/2017 12:01:00 AM,048XX S DREXEL BLVD,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,False,True,223,2.0,4.0,39.0,02,,,2017,11/03/2019 03:41:13 PM,,,
4242076,HL564632,08/22/2005 12:00:00 AM,051XX S KEDZIE AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,False,822,8.0,14.0,63.0,08A,1155912.0,1870472.0,2005,02/28/2018 03:56:25 PM,41.80036463,-87.703753695,"(41.80036463, -87.703753695)"
4240828,HL563682,08/21/2005 10:50:00 PM,076XX S SOUTH SHORE DR,051A,ASSAULT,AGGRAVATED: HANDGUN,OTHER,False,False,421,4.0,7.0,43.0,04A,1196619.0,1855520.0,2005,02/28/2018 03:56:25 PM,41.758420277,-87.554966924,"(41.758420277, -87.554966924)"
4279953,HL590443,09/04/2005 12:30:00 AM,048XX N KEYSTONE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1712,17.0,39.0,14.0,08B,1148516.0,1931913.0,2005,02/10/2018 03:50:01 PM,41.969111014,-87.729291412,"(41.969111014, -87.729291412)"
4240885,HL550861,08/15/2005 04:10:00 PM,008XX W GARFIELD BLVD,0820,THEFT,$500 AND UNDER,GAS STATION,False,False,712,7.0,20.0,68.0,06,1171763.0,1868250.0,2005,02/10/2018 03:50:01 PM,41.793933926,-87.64568835,"(41.793933926, -87.64568835)"
4272449,HL580704,08/30/2005 11:19:59 AM,078XX S ESSEX AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,True,False,421,4.0,7.0,43.0,26,1194218.0,1853568.0,2005,02/28/2018 03:56:25 PM,41.753123114,-87.563830192,"(41.753123114, -87.563830192)"
4228026,HL552441,07/22/2005 09:00:00 PM,015XX W CHICAGO AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER,False,False,1324,12.0,27.0,24.0,11,1165889.0,1905431.0,2005,02/28/2018 03:56:25 PM,41.896089093,-87.666168817,"(41.896089093, -87.666168817)"
4059321,HL405916,06/07/2005 09:48:04 PM,007XX E 87TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN/LIQUOR STORE,False,False,632,6.0,6.0,44.0,14,1182632.0,1847455.0,2005,02/28/2018 03:56:25 PM,41.73662489,-87.606477087,"(41.73662489, -87.606477087)"
4168539,HL496827,07/20/2005 04:46:11 PM,065XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,723,7.0,20.0,68.0,08B,1171759.0,1861583.0,2005,02/28/2018 03:56:25 PM,41.775639009,-87.645898477,"(41.775639009, -87.645898477)"
4065055,HL411382,06/07/2005 02:45:00 PM,048XX N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,2032,20.0,46.0,3.0,14,1165255.0,1932676.0,2005,02/28/2018 03:56:25 PM,41.970864373,-87.667720488,"(41.970864373, -87.667720488)"
4122574,HL458066,07/02/2005 03:00:00 AM,040XX S LAKE PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2123,2.0,4.0,36.0,08B,1183756.0,1878206.0,2005,02/28/2018 03:56:25 PM,41.820982288,-87.601400234,"(41.820982288, -87.601400234)"
4051529,HL251307,03/23/2005 05:20:00 PM,011XX W HOLLYWOOD AVE,2022,NARCOTICS,POSS: COCAINE,APARTMENT,True,False,2022,20.0,48.0,77.0,18,1167669.0,1938019.0,2005,02/10/2018 03:50:01 PM,41.985473908,-87.6586893,"(41.985473908, -87.6586893)"
