Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2019-915171,11810388277,11/12/2019 04:50:00 PM,11/12/2019 05:05:00 PM,11/13/2019 01:12:43 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,U,U3,ROOSEVELT/RAVENNA,30XX BLOCK OF NE 45TH ST,-122.294760861,47.6612455
2019-915169,11810377988,11/12/2019 03:00:00 PM,11/12/2019 03:55:00 PM,11/13/2019 01:03:04 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,E,G,G2,CENTRAL AREA/SQUIRE PARK,4XX BLOCK OF 23RD AVE,-122.30276436,47.60563158
2019-915165,11810366612,11/10/2019 03:00:00 PM,11/12/2019 03:20:00 PM,11/13/2019 12:52:51 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,M,M2,DOWNTOWN COMMERCIAL,4XX BLOCK OF PINE ST,-122.337320423,47.61132124
2019-915164,11810351159,11/12/2019 12:00:00 PM,11/12/2019 12:05:00 PM,11/13/2019 12:42:52 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U3,SANDPOINT,45XX BLOCK OF 46TH AVE NE,-122.27835045,47.66219224
2019-915163,11810350899,11/10/2019 10:00:00 PM,11/11/2019 08:00:00 AM,11/13/2019 12:42:41 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U3,SANDPOINT,62XX BLOCK OF 44TH AVE NE,-122.280866592,47.67487851
2019-422471,11810394019,11/10/2019 07:00:00 PM,11/13/2019 08:15:00 AM,11/13/2019 12:39:44 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E3,FIRST HILL,10XX BLOCK OF 8TH AVE,-122.328797187,47.60830131
2019-422430,11810336509,11/11/2019 01:00:00 PM,11/11/2019 01:00:00 PM,11/13/2019 12:27:23 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,R,R2,CLAREMONT/RAINIER VISTA,44XX BLOCK OF RAINIER AVE S,-122.288210584,47.56418494
2019-422692,11810324304,10/30/2019 12:01:00 AM,11/07/2019 11:59:00 PM,11/13/2019 12:19:09 PM,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,S,O,O2,GEORGETOWN,5XX BLOCK OF S BRANDON ST,-122.327623747,47.55412909
2019-422822,11810310591,11/12/2019 09:30:00 PM,11/13/2019 11:15:00 AM,11/13/2019 12:04:48 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,UNIVERSITY,52XX BLOCK OF 11TH AVE NE,-122.316300678,47.6675054
2019-915162,11810278364,11/09/2019 02:40:00 PM,11/09/2019 02:40:00 PM,11/13/2019 12:04:02 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C1,CAPITOL HILL,14TH AVE E / E HOWE ST,-122.314724434,47.63594013
2019-915159,11810261344,11/10/2019 10:45:00 PM,11/10/2019 11:31:00 PM,11/13/2019 11:52:48 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,79XX BLOCK OF DELRIDGE WAY SW,-122.360446432,47.53097632
2019-915155,11810247317,11/10/2019 07:30:00 PM,11/10/2019 08:30:00 PM,11/13/2019 11:43:11 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,C,C1,CAPITOL HILL,6XX BLOCK OF 14TH AVE E,-122.314627215,47.62476804
2019-915156,11810246625,11/09/2019 12:59:00 PM,11/10/2019 04:00:00 AM,11/13/2019 11:42:43 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K1,DOWNTOWN COMMERCIAL,4XX BLOCK OF SENECA ST,-122.333658663,47.60774723
2019-422782,11810197128,09/09/2019 12:00:00 AM,11/22/2019 11:59:00 PM,11/13/2019 11:33:16 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,J,J1,BALLARD NORTH,8XX BLOCK OF NW 95TH ST,-122.36670644,47.69786645
2019-915152,11810190562,11/08/2019 06:30:00 AM,11/12/2019 09:30:00 AM,11/13/2019 11:32:50 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,C,C3,MADRONA/LESCHI,1XX BLOCK OF 39TH AVE E,-122.282572599,47.61827779
2019-915153,11810190279,11/12/2019 10:10:00 AM,11/12/2019 10:20:00 AM,11/13/2019 11:32:41 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W2,ALASKA JUNCTION,38XX BLOCK OF 44TH AVE SW,-122.388105238,47.5693141
2019-915151,11810136386,08/17/2019 11:35:00 PM,08/18/2019 02:35:00 AM,11/13/2019 11:24:25 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,D,D3,EASTLAKE - WEST,22XX BLOCK OF YALE AVE E,-122.327110217,47.63898727
2019-915149,11810116450,11/12/2019 12:00:00 AM,11/12/2019 09:00:00 AM,11/13/2019 11:14:11 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E1,CAPITOL HILL,5XX BLOCK OF BROADWAY E,-122.320933335,47.62369897
2019-422477,11810123387,10/23/2019 12:00:00 AM,10/23/2019 12:00:00 AM,11/13/2019 11:08:44 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,N,N3,GREENWOOD,7XX BLOCK OF N 87TH ST,-122.348574159,47.69202393
2019-915147,11810092258,11/12/2019 06:00:00 AM,11/12/2019 12:00:00 PM,11/13/2019 11:02:46 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,ELLIOTT AVE W / W THOMAS ST,-122.361281703,47.62096131
2019-915146,11810077768,11/11/2019 11:00:00 PM,11/12/2019 06:20:00 AM,11/13/2019 10:53:38 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D2,SLU/CASCADE,27XX BLOCK OF 4TH AVE,-122.348505983,47.61807131
2019-915143,11810077000,11/10/2019 05:00:00 PM,11/11/2019 08:00:00 AM,11/13/2019 10:53:09 AM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,N,N,N3,NORTHGATE,85XX BLOCK OF WALLINGFORD AVE N,-122.336450318,47.69141065
2019-915144,11810076817,11/12/2019 12:00:00 AM,11/12/2019 07:00:00 AM,11/13/2019 10:53:01 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,O,O3,GEORGETOWN,8XX BLOCK OF S HOMER ST,-122.32143132,47.55073841
2019-915142,11810076612,11/12/2019 10:10:00 AM,11/12/2019 10:10:00 AM,11/13/2019 10:52:48 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D2,QUEEN ANNE,18XX BLOCK OF WESTLAKE AVE N,-122.340449802,47.63555138
2019-915141,11810051516,09/15/2019 12:00:00 AM,09/15/2019 05:00:00 AM,11/13/2019 10:44:14 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,16XX BLOCK OF 7TH AVE W,-122.366365847,47.63413391
2019-422297,11810080476,11/13/2019 07:08:00 AM,,11/13/2019 10:43:30 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.324615158,47.7086028
2019-915140,11810049840,11/05/2019 12:00:00 AM,11/05/2019 05:00:00 AM,11/13/2019 10:42:45 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,16XX BLOCK OF 7TH AVE W,-122.366365847,47.63413391
2019-915139,11810033789,11/07/2019 08:00:00 AM,11/09/2019 10:30:00 AM,11/13/2019 10:34:04 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O3,GEORGETOWN,8XX BLOCK OF S ORCAS ST,-122.321905972,47.55001613
2019-422711,11810035576,11/13/2019 10:00:00 AM,11/13/2019 10:30:00 AM,11/13/2019 10:32:00 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,B,B1,BALLARD SOUTH,14XX BLOCK OF NW MARKET ST,-122.374901481,47.66866614
2019-422417,11810020866,11/13/2019 06:00:00 AM,,11/13/2019 10:19:44 AM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,N,N,N3,NORTHGATE,92XX BLOCK OF INTERLAKE AVE N,-122.340798812,47.69706855
